#SLINE  RLINE  SOU_X  SOU_Y  REC_X  REC_Y  OFFSET  SR_AZIM  REC_ELEV  SOURCE  NODE  SRF_SLOC  FB_PICK  FB_SMTH EVENT 
25130019 366202 287352.90000 7440843.90000 292290.70000 7441253.00000 4954.71812 85.26382 100.00000 2585 1 3050 2203.65039 2203.65039 add
25130019 366202 287352.90000 7440843.90000 292278.40000 7441274.70000 4944.30368 85.00145 100.00000 2585 2 3044 81.24994 92.33978 add
25130019 366202 287352.90000 7440843.90000 292266.30000 7441296.50000 4934.20169 84.73703 100.00000 2585 3 3038 92.33978 92.33978 add
25130019 366202 287352.90000 7440843.90000 292254.30000 7441318.60000 4924.33367 84.46816 100.00000 2585 4 3032 184.71098 139.11723 add
25130019 366202 287352.90000 7440843.90000 292241.90000 7441340.40000 4914.14624 84.20124 100.00000 2585 5 3026 139.11723 139.11723 add
25130019 366202 287352.90000 7440843.90000 292228.90000 7441362.00000 4903.44813 83.93479 100.00000 2585 6 3020 127.64838 139.11723 add
25130019 366202 287352.90000 7440843.90000 292215.59000 7441382.90000 4892.47126 83.67493 100.00000 2585 7 3014 139.18362 128.12895 add
25130019 366202 287352.90000 7440843.90000 292202.00000 7441404.10000 4881.35174 83.41003 100.00000 2585 8 3008 128.12895 134.33978 add
25130019 366202 287352.90000 7440843.90000 292188.30000 7441425.20000 4870.21589 83.14494 100.00000 2585 9 3002 134.33978 134.33978 add
25130019 366202 287352.90000 7440843.90000 292175.70000 7441446.70000 4860.32588 82.87557 100.00000 2585 10 2996 194.76566 192.75394 add
